NUM   TIPO   MODIF  MI ANOI MF ANOF
XXXX XXXXX XXXXXXXX XX XXXX XX XXXX
  28 GTMIN    10.12  2 2021 12 2021                                                                                                                                                                     
  28 IPTER     0.00  2 2021 12 2021                                                                                                                                                                     
  28 GTMIN     2.60  1 2022  1 2022                                                                                                                                                                     
  28 IPTER    74.19  1 2022  1 2022                                                                                                                                                                     
  28 GTMIN    10.12  2 2022                                                                                                                                                                             
  28 IPTER     0.00  2 2022                                                                                                                                                                             
  26 POTEF   100.00  8 2018          J.LACERDA A1                                                                                                                                                       
  26 FCMAX    90.00  8 2018                                                                                                                                                                             
  26 GTMIN  0030.00  8 2018  1 2019
  26 GTMIN  0000.00  2 2019  3 2019
  26 GTMIN    25.00  4 2019 12 2019
  26 GTMIN  0030.00  1 2020  1 2020
  26 GTMIN  0000.00  2 2020  3 2020
  26 GTMIN    25.00  4 2020 12 2020
  26 GTMIN  0030.00  1 2021  1 2021
  26 GTMIN  0000.00  2 2021  3 2021
  26 GTMIN    25.00  4 2021 12 2021
  26 GTMIN  0030.00  1 2022  1 2022
  26 GTMIN  0000.00  2 2022  3 2022
  26 GTMIN    25.00  4 2022                                                                                                                                                                             
  27 POTEF   132.00  8 2018          J.LACERDA A2                                                                                                                                                       
  27 FCMAX    90.91  8 2018                                                                                                                                                                             
  27 GTMIN    71.00  8 2018 12 2018                                                                                                                                                                     
  27 GTMIN    92.68  1 2019  1 2019                                                                                                                                                                     
  27 GTMIN  0000.00  2 2019  3 2019
  27 GTMIN  0066.00  4 2019  6 2019
  27 GTMIN    33.00  7 2019 12 2019
  27 GTMIN  0092.68  1 2020  1 2020
  27 GTMIN  0000.00  2 2020  3 2020
  27 GTMIN    66.00  4 2020  6 2020                                                                                                                                                                     
  27 GTMIN    33.00  7 2020 12 2020
  27 GTMIN  0092.68  1 2021  1 2021
  27 GTMIN  0000.00  2 2021  3 2021
  27 GTMIN    66.00  4 2021  6 2021                                                                                                                                                                     
  27 GTMIN    33.00  7 2021 12 2021
  27 GTMIN  0092.68  1 2022  1 2022
  27 GTMIN  0000.00  2 2022  3 2022
  27 GTMIN    66.00  4 2022  6 2022                                                                                                                                                                     
  27 GTMIN    33.00  7 2022                                                                                                                                                                             
  25 POTEF   262.00  8 2018          J.LACERDA B                                                                                                                                                        
  25 FCMAX    91.60  8 2018                                                                                                                                                                             
  25 GTMIN  0104.00  8 2018 12 2018
  25 GTMIN   168.85  1 2019  1 2019                                                                                                                                                                     
  25 GTMIN  0000.00  2 2019  3 2019
  25 GTMIN  0168.85  4 2019 11 2019
  25 GTMIN  0150.00 12 2019 12 2019
  25 GTMIN  0168.85  1 2020  1 2020
